,castTotalLikes,directorLikes,actor1likes,movieLikes,fbPosters,year,duration,genre,contentRating,criticReviews,userReviews,userVotes,rating
1021,16967,118,14000,38000,0,2014,115,0,0,222,323,133436,6.0
1022,3768,0,3000,0,1,1998,123,6,3,158,307,71708,7.0
1023,3718,0,2000,0,1,1996,96,4,0,72,345,122347,6.0
1024,371,375,113,522,0,1998,110,2,6,34,55,5639,7.8
1025,2096,631,678,2000,1,1990,105,0,1,72,164,47819,6.1
1026,4660,323,1000,0,0,1999,113,6,3,152,419,73068,6.8
1027,4796,545,919,0,1,2001,132,7,0,89,210,22447,6.4
1028,15192,270,13000,0,1,1982,93,0,3,145,376,172489,7.7
1029,95,0,29,0,0,1972,115,2,1,144,236,54057,8.1
1030,6863,0,4000,261,3,2006,75,1,1,93,71,8693,4.5
1031,8349,350,8000,616,1,1996,108,2,3,46,97,11913,5.8
1032,12344,29,8000,0,1,1997,105,4,0,84,169,98199,6.3
1033,9176,148,8000,881,4,2001,102,4,0,142,343,47573,5.7
1034,15658,22000,14000,0,0,2002,118,2,3,185,651,218771,7.2
1035,6315,906,1000,3000,2,1996,111,0,0,143,286,97838,7.6
1036,14619,39,13000,0,1,2010,81,0,0,178,176,45729,4.7
1037,33233,380,18000,975,1,1996,116,0,3,65,107,40126,6.6
1038,2070,293,509,0,1,1997,86,4,0,73,243,220392,6.8
1039,2104,65,788,0,1,2016,127,7,3,72,29,2581,7.3
1040,2704,92,1000,115,1,1981,140,2,1,10,16,491,2.7
1041,3244,32,924,0,2,1994,91,4,1,35,85,60884,4.8
1042,16410,118,14000,63000,0,2012,98,0,0,358,461,238671,6.3
1043,3629,119,807,0,7,2003,84,4,0,151,347,111526,5.5
1044,1574,80,545,0,1,2000,109,0,0,140,370,137377,6.2
1045,17925,40,14000,0,0,2008,93,0,1,201,212,85323,5.8
1046,15362,0,11000,1000,2,2004,113,4,2,77,152,53687,5.7
1047,30063,79,18000,0,0,1993,141,6,0,43,89,59569,6.5
1048,4043,541,821,1000,3,1994,119,6,0,39,94,45798,6.7
1049,14868,0,11000,22000,1,2007,97,1,0,207,310,184795,7.4
1050,12757,176,11000,0,1,1992,117,0,3,47,137,81442,6.9
1051,6292,126,3000,0,0,2005,101,4,0,132,228,43358,5.5
1052,37321,777,20000,86000,2,2013,153,6,3,454,620,383591,8.1
1053,22370,845,18000,0,2,2001,122,6,3,109,633,305929,7.7
1054,26998,23,25000,19000,3,1999,102,1,1,213,609,123558,7.3
1055,1645,322,1000,0,7,2001,83,4,3,127,548,119590,5.2
1056,1336,33,970,26000,3,2011,103,1,1,398,252,75176,7.1
1057,3174,45,886,0,1,1998,110,0,3,184,582,191437,7.1
1058,20299,49,17000,0,0,2005,136,2,0,127,209,92702,7.2
1059,758,50,521,0,0,2002,91,2,3,167,350,57281,6.5
1060,3717,49,2000,0,0,1997,89,0,0,119,271,73539,4.6
1061,3106,18,811,0,5,2000,107,4,0,155,379,90539,5.6
1062,28886,628,14000,52000,9,2003,129,4,3,218,1004,318634,7.7
1063,24205,487,18000,0,0,1998,95,1,2,117,317,211226,7.2
1064,41636,117,40000,0,1,2001,122,11,3,208,541,124765,6.8
1065,13331,49,13000,0,2,1994,110,0,3,38,116,50148,5.4
1066,3648,41,982,1000,0,1996,135,4,3,48,73,37911,6.3
1067,7493,5,6000,0,0,1968,111,4,6,8,61,5888,7.2
1068,27351,58,14000,743,1,2005,95,4,1,94,118,30255,5.6
1069,14073,37,11000,10000,0,2005,109,1,1,276,1053,155745,6.8
1070,4604,38,1000,531,1,2004,93,4,1,59,91,9380,4.3
1071,16225,85,14000,0,1,2007,94,0,3,216,348,149549,6.3
1072,49743,153,35000,12000,0,2014,117,4,0,173,184,87165,6.5
1073,3757,61,1000,0,1,2006,112,1,0,99,116,21215,6.4
1074,12161,161,11000,0,1,1994,111,0,0,42,69,32544,6.3
1075,2965,0,1000,0,1,1995,96,2,1,25,47,20688,5.9
1076,1948,0,749,28000,4,2012,141,6,3,339,269,104301,6.5
1077,1102,160,550,2000,1,2004,94,0,0,127,355,79141,6.5
1078,1461,29,427,2000,1,2003,87,0,1,122,285,114692,6.1
1079,33822,8,12000,593,1,2006,88,1,1,105,70,30055,5.9
1080,2449,0,913,11000,3,1984,177,0,0,144,569,97087,6.6
1081,5405,278,5000,14000,0,2007,133,2,0,156,524,91860,7.4
1082,53895,0,29000,0,0,2008,119,2,3,323,414,152591,7.3
1083,15053,503,13000,0,2,2006,102,0,0,199,305,112769,6.6
1084,15990,326,14000,0,0,2008,101,0,0,164,214,81523,5.6
1085,3855,29,2000,451,1,1996,91,0,3,39,80,15455,5.3
1086,2348,11000,905,0,0,1996,117,4,0,43,81,24757,6.0
1087,3423,13,1000,916,3,2009,86,1,1,82,55,16580,5.4
1088,793,0,723,0,0,2001,124,6,3,150,531,42621,6.8
1089,24351,38,11000,0,3,2005,134,4,0,168,409,35140,6.4
1090,578,38,409,46000,0,2012,95,0,3,432,588,203461,7.1
1091,3855,23,1000,0,0,1996,100,0,1,60,148,27648,4.9
1092,15006,0,13000,652,2,2000,220,2,0,85,183,11388,5.8
1093,21130,0,12000,915,0,1995,212,7,3,83,161,23996,7.1
1094,2507,2000,854,15000,2,2010,128,5,0,343,349,132423,7.2
1095,6558,208,3000,0,0,1998,106,0,3,106,273,26551,6.0
1096,26982,0,23000,0,0,2008,160,0,3,158,182,15697,6.0
1097,949,611,879,0,2,2006,114,2,3,189,229,36455,7.0
1098,12166,15,12000,0,1,2008,99,0,3,125,154,48245,5.4
1099,13917,188,11000,892,2,2002,74,4,0,87,186,17307,6.5
1100,538,179,267,0,0,2007,139,2,3,115,115,19114,6.4
1101,2457,170,849,68,2,1997,103,0,3,24,41,3803,4.9
1102,661,32,219,17000,1,2011,101,0,1,152,142,89568,6.3
1103,3090,11,719,0,0,2012,91,0,1,12,66,4377,1.7
1104,3133,0,1000,89000,1,2012,130,7,3,656,695,452465,7.7
1105,13357,99,11000,0,1,1993,130,0,0,119,270,213668,7.8
1106,21554,72,18000,0,1,2010,110,0,0,161,135,96565,5.5
1107,37076,272,22000,0,3,1996,147,6,3,73,259,154487,7.5
1108,15662,170,13000,0,0,1985,96,0,3,96,217,117606,6.4
1109,26907,13,23000,353,1,1996,118,2,3,28,62,13995,5.6
1110,1178,3,1000,0,0,1940,88,3,7,105,147,90360,7.5
1111,14255,517,12000,1000,0,1980,325,1,3,102,189,9830,6.8
1112,2998,235,956,0,1,2006,102,0,3,206,502,156225,6.8
1113,12876,118,11000,11000,2,2015,110,2,0,159,91,28618,6.0
1114,1801,835,670,0,1,2000,136,2,0,137,297,73006,7.3
1115,23864,84,12000,0,1,2000,103,4,0,116,194,34597,6.0
1116,22383,255,11000,0,1,2005,103,0,3,177,303,85198,7.0
1117,132,16,44,0,3,2002,90,4,3,99,403,46158,5.1
1118,14244,521,10000,0,0,1993,154,2,3,56,142,88844,6.8
1119,1066,23,405,0,1,2010,99,2,0,117,75,47364,6.5
1120,27834,165,26000,16000,0,2011,93,0,3,252,181,117999,6.6
1121,19968,97,17000,39000,2,2012,109,0,3,375,345,408302,7.2
1122,9255,50,8000,11000,1,1999,124,4,0,150,602,203269,7.0
1123,1817,91,579,0,0,2000,84,1,2,187,358,140499,7.0
1124,24534,29,22000,0,1,2004,90,4,0,108,268,106909,5.9
1125,3841,71,723,0,1,1992,117,4,3,21,41,20183,5.4
1126,4825,176,975,24000,7,2013,123,0,3,270,380,133177,6.6
1127,2957,311,940,0,2,1963,251,7,7,72,192,21554,7.0
1128,6727,153,4000,17000,2,2012,105,0,1,154,112,74169,6.5
1129,15571,73,11000,893,1,2002,115,6,0,114,175,30077,6.3
1130,13716,0,12000,0,0,1996,122,4,0,27,71,11453,6.5
1131,1651,89,650,0,0,2002,119,2,0,166,460,63677,6.5
1132,2134,119,468,0,1,2009,81,4,3,288,396,119622,5.8
1133,2371,46,683,0,0,1989,133,0,0,117,317,74009,6.6
1134,15369,308,10000,20000,2,2011,100,8,0,291,283,91151,5.4
1135,33585,17,22000,748,1,2001,120,0,3,151,265,42547,6.1
1136,7723,5,5000,0,0,1993,104,1,1,36,290,38203,4.0
1137,12076,487,12000,10000,2,2005,122,6,3,168,437,248123,7.6
1138,6229,611,5000,0,4,2002,80,0,0,283,841,149414,7.9
1139,3301,30,922,19000,1,2012,91,0,0,127,169,34203,5.3
1140,12239,133,11000,50000,4,2014,112,4,3,293,835,247020,6.6
1141,2056,19,624,0,1,2010,100,0,3,95,102,22309,6.3
1142,1342,0,1000,0,4,2009,105,0,3,213,71,24657,7.2
1143,1954,161,1000,0,0,2002,110,2,3,119,564,187181,7.0
1144,18761,241,13000,0,1,2001,144,0,0,167,658,137003,6.9
1145,1134,4,687,505,1,2003,108,0,0,98,132,29861,5.2
1146,17540,0,13000,14000,0,1999,107,2,0,234,2073,704766,8.1
1147,362,20,107,11000,6,2012,102,0,0,258,153,125198,6.6
1148,2085,64,734,11000,0,2011,100,4,1,108,125,34809,6.2
1149,2004,80,668,0,0,1984,126,0,1,81,235,126907,7.2
1150,83012,737,34000,63000,5,2013,138,6,3,538,751,358416,7.3
1151,18656,98,16000,10000,1,2009,108,4,0,224,273,227824,6.7
1152,2129,78,984,0,0,1999,105,6,3,129,336,56646,6.4
1153,3660,0,1000,12000,0,1989,108,1,1,125,327,340085,7.8
1154,32325,0,19000,83000,0,2014,89,0,3,433,918,327367,6.4
1155,4585,456,1000,101000,0,2015,129,2,3,362,1360,220020,4.1
1156,22935,0,13000,681,3,2003,84,0,1,93,188,40227,4.1
1157,31349,541,18000,0,3,1996,149,6,3,71,236,99558,7.4
1158,7014,189,3000,0,15,2003,94,4,1,104,288,75152,5.8
1159,1261,532,480,58000,0,2013,121,0,3,319,420,203963,7.6
1160,16751,545,15000,0,3,1992,128,4,1,41,166,71754,7.2
1161,2676,0,1000,40000,0,2016,134,11,3,300,279,64989,7.8
1162,10555,21000,10000,74000,0,2010,120,7,0,556,696,479453,7.7
1163,318,42,97,12000,7,2009,129,4,0,161,203,132048,6.4
1164,5855,119,2000,1000,8,2006,89,4,0,151,410,93748,5.1
1165,600,0,287,0,4,2000,116,11,3,212,734,98535,5.5
1166,3986,0,1000,0,0,1990,118,1,1,111,263,283480,7.4
1167,12556,164,8000,14000,2,2015,107,4,3,173,144,85629,6.0
1168,42220,0,18000,14000,0,1992,155,8,3,181,654,143835,7.5
1169,13321,0,11000,13000,2,2009,123,7,0,252,277,79264,7.0
1170,16911,241,11000,28000,0,2013,128,7,0,216,200,66511,7.5
1171,36810,333,22000,0,1,1999,139,6,3,203,696,137891,7.3
1172,16179,101,13000,55000,1,2014,109,4,0,218,285,97045,5.7
1173,24300,155,23000,11000,1,2006,120,1,1,118,263,48806,7.3
1174,36010,278,22000,54000,2,2015,121,4,0,241,304,130661,7.2
1175,5178,167,2000,0,0,2016,102,0,0,119,58,28621,5.9
1176,2144,0,855,0,1,1992,117,0,3,89,382,113068,7.8
1177,5074,138,904,0,0,2004,178,7,0,209,433,110394,7.7
1178,3924,436,3000,13000,1,2005,147,6,3,374,1732,656640,8.1
1179,6775,38,2000,0,4,2008,90,6,0,235,422,127528,6.6
1180,28928,29,24000,0,2,2009,105,4,3,215,215,166194,7.1
1181,2842,101,700,0,2,2001,114,4,0,109,426,109445,5.9
1182,698,0,433,0,1,1991,206,2,3,125,442,113472,8.0
1183,19334,14,17000,663,0,2006,99,4,0,65,82,31968,4.6
1184,43917,563,24000,2000,0,2001,123,1,3,125,344,87351,6.1
1185,2938,11000,769,35000,0,2014,137,7,0,322,351,103589,7.2
1186,7009,23,2000,0,1,2009,102,4,0,191,185,146899,6.4
1187,2357,415,982,16000,2,2014,109,4,0,191,189,104481,6.0
1188,303717,160,164000,0,0,2009,82,11,3,221,290,75345,5.2
1189,16944,14000,15000,55000,0,2015,142,2,0,459,355,178118,7.6
1190,2544,212,578,0,2,2001,106,0,0,131,411,86902,6.4
1191,2091,89,836,12000,2,2010,114,4,3,222,197,147317,6.4
1192,2325,23,1000,0,2,2004,106,4,0,118,211,35508,6.1
1193,8610,287,4000,0,0,1998,108,0,0,100,139,77415,6.1
1194,7039,20,2000,0,0,1997,98,0,3,70,209,52805,5.2
1195,17152,58,15000,0,1,2002,131,0,0,138,544,104991,7.7
1196,13943,65,11000,25000,1,2011,118,6,3,274,203,173848,7.3
1197,17152,174,14000,29000,3,2011,113,0,0,349,332,210542,6.9
1198,63986,22000,23000,49000,1,2006,130,2,0,341,1100,844052,8.5
1199,30571,51,18000,12000,7,2014,116,4,3,196,187,114294,6.3
1200,3361,7,3000,0,2,2013,89,1,1,83,44,20615,5.9
1201,848,0,708,14000,0,2006,139,0,3,283,1043,236000,7.8
1202,1233,46,387,0,1,1987,130,0,1,105,271,69457,6.7
1203,4243,190,2000,17000,0,2010,107,0,3,351,619,171418,6.4
1204,2179,425,954,263,3,1986,116,4,1,16,34,7900,5.9
1205,41293,192,40000,0,1,2004,96,5,0,195,531,147504,6.6
1206,18693,18,18000,0,0,2006,99,2,1,175,548,114321,6.8
1207,1274,34,545,0,0,2005,104,11,0,193,371,87447,6.5
1208,9069,54,3000,11000,0,2012,105,4,1,169,110,37398,6.6
1209,4298,10,1000,3000,2,2008,101,4,0,128,101,54421,5.8
1210,2281,16000,880,16000,1,2014,134,7,3,249,190,25465,6.9
1211,16762,0,13000,0,1,1997,135,6,0,91,141,46221,7.1
1212,22318,326,21000,0,1,2003,98,11,3,207,376,89557,5.8
1213,37570,14000,12000,0,2,1997,155,2,3,77,227,56509,7.2
1214,519,323,472,694,2,1992,106,1,0,25,56,17443,6.0
1215,4324,25,1000,0,0,2007,102,0,3,211,998,92789,4.7
1216,4634,80,3000,0,1,1994,95,4,1,19,39,49612,5.2
1217,26938,643,24000,0,2,2000,103,2,0,101,180,20201,5.5
1218,2787,30,799,0,4,2007,95,4,0,175,291,81334,6.5
1219,390,99,176,42000,0,2011,109,1,3,342,334,192462,7.0
1220,1070,98,405,0,1,2012,95,4,0,147,103,30394,5.8
1221,4486,0,2000,26000,0,2011,111,11,3,420,518,104119,6.2
1222,12970,541,12000,0,1,1999,123,5,3,138,587,104564,6.5
1223,3044,0,720,0,1,1991,140,7,3,82,209,68159,7.2
1224,1488,52,683,0,2,2014,94,4,3,201,158,84382,5.1
1225,1238,0,374,390,3,2000,94,4,0,82,130,10132,4.7
1226,3074,77,703,20000,0,2011,92,11,3,277,227,83788,5.9
1227,2913,6,711,445,1,1999,102,4,0,90,117,29968,5.8
1228,23920,75,18000,16000,2,2000,123,2,0,157,660,95860,7.2
1229,1827,101,787,0,1,2005,104,4,0,124,208,36223,6.2
1230,3239,65,1000,702,1,2008,102,4,0,146,101,50199,5.7
1231,28927,3000,14000,24000,3,2014,136,4,3,303,416,136093,6.1
1232,2711,85,924,0,0,1994,93,0,0,70,146,18723,6.0
1233,15595,335,15000,39000,1,2011,129,1,0,283,341,81298,6.9
1234,621,50,293,0,0,2010,107,4,0,212,156,58871,6.5
1235,3969,260,1000,0,0,2005,117,7,3,98,284,35834,5.0
1236,3753,18,2000,470,0,2000,116,0,3,110,167,25346,5.7
1237,5917,0,3000,3000,1,2005,135,2,0,146,754,41685,7.0
1238,4565,55,3000,394,0,2000,107,6,3,100,188,12093,5.1
1239,1335,39,607,279,2,1999,90,4,0,62,105,10446,5.3
1240,10469,287,10000,0,2,1996,99,11,0,70,164,26051,4.4
1241,2888,0,964,299,0,2001,104,0,0,107,291,12856,4.7
1242,77823,56,20000,0,3,2008,115,7,0,169,252,84357,6.7
1243,29484,7,18000,8000,1,2001,119,2,0,94,274,70292,6.7
1244,960,81,327,0,0,2007,99,11,3,190,178,37412,5.7
1245,23737,17000,22000,0,0,1973,112,6,3,112,223,67797,7.4
1246,3126,545,783,680,1,1994,128,4,0,12,61,13830,6.1
1247,3432,118,877,15000,0,2011,112,0,0,201,203,76498,6.4
1248,14275,7,10000,0,0,1998,86,1,2,34,67,11156,6.2
1249,34377,105,22000,416,1,2002,108,6,3,104,166,21319,6.2
1250,3821,34,978,0,1,1999,128,2,0,55,106,11232,5.9
1251,5039,33,1000,0,0,2004,84,0,0,86,207,23747,4.0
1252,17877,17,14000,309,2,1996,111,2,3,50,60,16741,6.2
1253,18913,719,16000,0,0,1995,131,2,8,181,450,49874,4.6
1254,7243,0,4000,0,1,2006,123,7,0,260,619,79892,6.4
1255,14008,58,12000,555,3,1995,101,0,3,40,60,14226,5.9
1256,14463,19,13000,604,1,2000,102,0,3,102,284,27305,5.1
1257,7099,171,6000,54000,0,2012,114,2,0,371,322,145270,7.6
1258,3374,124,636,754,2,1987,107,0,0,49,126,8692,4.2
1259,24770,0,13000,15000,0,2009,87,1,1,335,245,139114,7.8
1260,12566,65,11000,835,2,2002,103,4,0,86,128,19364,5.8
1261,2125,0,782,630,2,1992,99,4,0,40,66,17365,5.9
1262,809,0,326,39000,0,2001,122,4,3,242,1314,534262,8.4
1263,3974,29,976,849,1,2004,91,4,1,70,111,17722,4.8
1264,3639,14,865,0,4,2004,103,4,3,135,146,43442,6.2
1265,1702,42,875,0,3,2012,107,7,1,125,66,15231,6.5
1266,4327,22,2000,579,1,1999,106,2,0,54,111,10413,6.3
1267,4262,37,2000,612,1,2002,101,6,3,104,388,17309,3.3
1268,20503,80,14000,0,3,2009,109,0,0,157,157,35990,5.9
1269,12876,118,11000,11000,2,2015,110,2,0,159,91,28618,6.0
1270,3096,0,1000,0,0,2003,89,4,0,78,147,46205,5.8
1271,4103,92,1000,866,2,2008,100,4,3,88,25,7794,6.5
1272,1883,5,521,328,0,1980,119,0,1,32,70,2933,4.7
1273,4024,7,2000,401,0,1999,83,0,3,75,162,24216,4.1
1274,14127,22,12000,10000,0,2009,108,0,3,219,310,121432,6.8
1275,2664,39,1000,892,4,2001,102,2,3,83,207,19986,6.2
1276,4123,18,3000,158,0,2002,93,0,0,53,82,4821,4.5
1277,1149,8,545,565,3,2001,84,4,0,61,98,15130,5.8
1278,11623,0,11000,15000,0,2007,107,1,3,308,801,190132,7.3
1279,222,48,61,0,8,2012,91,4,0,70,93,30842,5.9
1280,2449,0,795,211,1,2008,94,1,1,41,26,2458,4.4
1281,1686,180,1000,0,0,2015,115,0,3,224,110,28429,5.8
1282,15638,13,15000,823,3,2006,93,0,1,66,187,20201,5.1
1283,2288,154,884,0,0,2007,105,2,0,253,491,186982,6.9
1284,13821,34,11000,12000,1,1995,107,4,0,79,223,54650,6.2
1285,504,47,499,0,2,2007,101,1,3,94,90,22010,6.9
1286,2612,0,1000,0,2,1994,111,4,1,77,211,65474,7.3
1287,6267,31,5000,0,2,2007,113,0,3,106,61,22897,7.1
1288,2115,44,1000,265,0,2005,112,2,3,30,32,3322,6.0
1289,12286,584,11000,58000,5,2013,126,0,3,488,514,181472,7.0
1290,3243,10,1000,0,0,2011,90,1,1,63,40,15790,6.8
1291,5240,23,2000,89,10,2004,93,4,3,42,39,3789,5.7
1292,2630,295,720,15000,0,1994,98,0,3,118,545,136580,7.6
1293,568,124,152,13000,1,2009,107,2,0,214,234,114925,7.1
1294,1930,36,747,0,1,2007,102,4,0,110,184,32412,5.6
1295,45327,357,23000,14000,2,2001,106,0,0,187,988,272227,6.7
1296,4774,13000,940,25000,0,2012,87,3,1,370,165,73886,7.0
1297,2853,0,2000,14000,0,2005,119,0,0,276,1594,242599,8.0
1298,2972,534,865,177,2,2004,110,7,0,76,50,5917,5.3
1299,2329,44,593,0,1,1983,125,0,1,95,224,49934,4.9
1300,36009,88,22000,12000,1,2013,113,4,0,211,115,46480,6.4
1301,2172,610,755,0,4,2008,150,0,3,160,105,36894,7.4
1302,4251,72,982,0,1,2002,108,4,0,97,392,83786,6.1
1303,22436,126,18000,9000,2,2009,96,4,3,174,169,163665,6.5
1304,2176,36,592,478,2,1996,93,4,1,23,73,17810,5.7
1305,18291,0,12000,478,1,2002,100,0,1,103,107,44885,5.1
1306,6427,18,1000,0,0,1994,118,0,1,98,249,60504,6.6
1307,943,0,643,13000,1,2013,122,0,0,273,111,24557,6.5
1308,36062,508,21000,33000,1,2011,120,2,0,279,260,95367,6.9
1309,20516,278,18000,0,0,1999,146,7,3,65,265,76016,7.6
1310,3770,150,970,0,1,2002,115,6,0,98,234,30667,5.6
1311,2912,7,931,989,3,2001,123,4,0,116,216,44168,6.2
1312,3552,99,598,8000,1,2015,94,0,1,76,123,23473,4.4
1313,1440,43,308,689,0,2001,102,2,3,106,180,19686,5.6
1314,2765,11,854,168,1,2001,98,4,1,55,85,8433,5.5
1315,42344,2000,40000,0,1,1999,133,5,3,172,638,137722,6.7
1316,24547,150,24000,352,0,1996,118,6,3,47,75,14066,6.1
1317,1265,65,628,0,0,2001,105,2,3,107,191,34592,6.2
1318,3277,304,940,12000,0,2009,109,2,3,323,275,86955,7.3
1319,16237,0,12000,911,4,1996,129,1,0,37,89,17859,6.6
1320,1757,0,957,23000,0,1982,109,11,3,297,911,258078,8.2
1321,17551,123,14000,39000,0,2013,127,0,3,302,343,125305,6.4
1322,74,11,37,389,1,1997,118,6,3,38,81,9740,6.4
1323,2120,49,1000,474,2,2001,110,0,0,31,67,4757,5.2
1324,15494,27,13000,0,0,2008,90,1,1,118,102,52908,6.5
1325,427,0,378,27000,31,2012,144,2,3,546,405,105144,7.1
1326,4900,2,4000,366,2,2007,97,1,3,21,28,6691,4.8
1327,5162,39,2000,0,0,2008,130,7,1,86,45,16673,7.3
1328,19974,5,17000,14000,0,2016,112,0,0,194,266,55617,5.2
1329,15106,0,13000,70000,1,2015,133,2,0,437,362,146708,7.7
1330,14296,0,10000,29000,7,2010,150,6,3,378,420,280228,7.6
1331,13396,52,10000,14000,12,2012,110,4,0,170,89,57266,5.7
1332,36093,1000,24000,0,0,2008,96,4,3,341,545,248468,7.0
1333,18178,3,18000,0,3,2008,96,1,1,139,110,28109,6.0
1334,37206,2000,26000,83000,0,2013,123,0,3,393,475,312629,8.1
1335,1906,0,786,13000,1,1999,188,2,3,224,1437,241030,8.0
1336,14483,0,13000,0,2,2010,107,0,3,203,176,75347,5.6
1337,4882,11,2000,15000,4,2016,110,4,3,148,83,39440,6.1
1338,14209,188,11000,0,5,2011,113,2,1,131,86,17948,6.9
1339,44060,308,17000,19000,1,2008,122,2,0,350,1535,348007,5.2
1340,20970,415,18000,0,1,2002,116,6,0,129,394,98899,7.0
1341,2986,10,789,0,1,1999,93,0,0,40,144,60572,6.3
1342,3425,43,740,35000,4,2013,118,4,3,289,301,316671,7.0
1343,1874,84,551,0,0,1997,93,0,3,72,218,38399,6.9
1344,762,883,180,0,3,1983,121,0,1,89,214,48636,6.2
1345,1272,38,496,12000,8,2010,101,4,3,265,243,139184,6.4
1346,13904,188,11000,0,0,2014,107,2,1,54,33,6069,6.4
1347,10838,287,9000,852,0,2000,124,0,3,126,212,31113,5.7
1348,16611,473,14000,0,0,2003,109,0,3,110,135,38348,6.1
1349,44037,488,15000,11000,1,2015,105,4,0,138,172,39778,5.4
1350,3968,0,2000,591,0,1996,130,2,0,31,57,8531,6.7
1351,2393,96,746,846,1,1999,127,2,0,95,194,12375,6.8
1352,19904,101,12000,23000,1,2011,114,2,0,267,197,75864,6.0
1353,1942,487,685,17000,2,1997,106,2,0,175,641,220591,7.8
1354,2928,31,944,133,0,2000,95,7,3,63,64,1977,5.3
1355,2268,16,541,279,0,2008,81,1,2,85,45,8860,4.5
1356,4537,0,1000,638,1,2003,95,4,0,44,80,15046,5.4
1357,17623,480,14000,24000,3,2009,108,4,3,334,626,583341,7.8
1358,615,25,461,12000,0,2015,105,0,0,78,45,21912,7.2
1359,47203,116,45000,0,1,1999,95,0,0,199,784,181225,6.6
1360,2725,13000,920,12000,0,1989,126,0,0,186,817,269033,7.6
1361,3497,596,877,2000,0,2011,102,7,0,77,53,3865,5.9
1362,1446,503,808,0,2,1992,121,0,3,68,136,128010,6.7
1363,3389,102,768,38000,0,2009,129,7,0,261,420,223127,7.7
1364,4499,0,2000,0,0,2001,88,0,1,122,205,84325,5.4
1365,18669,91,18000,31000,5,2011,106,4,3,340,387,353442,6.9
1366,25964,1000,13000,36000,0,2010,110,1,0,493,724,240962,7.7
1367,23923,64,11000,0,0,2006,109,4,0,208,631,286178,6.8
1368,16007,338,12000,0,2,1979,143,1,1,134,405,63330,6.4
1369,5826,91,4000,17000,2,2013,120,4,3,275,232,97664,5.7
1370,24006,17000,22000,0,0,1991,128,6,3,120,261,127503,7.3
1371,25661,126,18000,0,2,2008,123,6,0,144,278,191470,6.8
1372,1450,0,492,25000,1,2015,129,4,3,332,309,94241,6.3
1373,2689,8,1000,919,2,2005,105,4,0,104,160,33887,5.9
1374,15912,333,14000,0,0,1996,162,2,3,116,457,142067,7.4
1375,19129,161,18000,11000,2,1997,138,6,3,177,625,414219,8.3
1376,2968,31,947,0,3,2005,100,1,1,127,217,61321,6.2
1377,23504,0,19000,0,0,1997,90,4,0,83,138,32416,6.3
1378,1715,79,900,0,0,1995,108,0,3,97,140,61018,5.8
1379,42918,0,40000,10000,1,1984,101,11,9,256,668,149285,7.5
1380,2474,763,812,0,1,2000,109,11,3,225,677,79877,6.3
1381,29265,130,29000,0,1,1998,132,0,0,83,244,125219,6.4
1382,2259,130,826,0,0,2010,123,7,1,160,136,20827,7.2
1383,16571,14,11000,0,0,2007,87,0,1,191,211,53786,6.3
1384,4231,19,1000,0,1,2003,109,7,1,74,196,32370,6.9
1385,20956,87,15000,41000,2,2011,109,4,3,238,194,270228,6.6
1386,17860,89,17000,0,0,2016,92,4,3,177,111,28041,6.0
1387,19809,102,15000,39000,2,2013,125,7,0,405,306,117719,7.5
1388,20143,0,18000,0,0,1992,202,7,0,61,156,63923,7.7
1389,1050,0,529,18000,2,2012,134,4,3,285,248,104005,6.2
1390,53370,12,49000,0,2,2009,88,4,1,124,120,31191,5.4
1391,2184,148,978,0,1,2009,92,0,3,164,169,119974,6.6
1392,52566,42,49000,913,3,2007,91,4,0,120,119,32157,5.3
1393,13125,221,11000,0,2,2006,75,4,0,90,209,40651,5.6
1394,4879,30,944,0,2,2005,98,4,0,120,262,25883,5.9
1395,56014,179,40000,0,2,1997,147,7,3,117,234,225122,7.8
1396,17902,545,14000,0,0,2002,100,0,3,226,1138,198701,6.7
1397,3876,365,887,11000,0,1982,120,8,1,223,321,105446,7.4
1398,41701,1000,24000,0,1,2004,104,4,3,193,400,84131,6.2
1399,16249,212,15000,0,1,2008,103,0,0,228,398,107772,5.4
1400,34011,487,20000,52000,2,2011,109,0,0,360,463,304318,6.7
1401,3356,16,1000,0,0,2010,104,4,0,148,97,40654,5.3
1402,2371,42,969,13000,4,2011,112,4,0,128,153,48019,5.9
1403,2643,19,1000,0,1,2001,95,1,0,46,164,30771,4.8
1404,677,23,288,0,1,1976,102,4,1,40,91,16323,7.3
1405,5443,133,2000,0,1,1994,102,0,0,63,282,53115,3.8
1406,1075,2000,396,21000,0,2002,150,7,3,193,761,497946,8.5
1407,41636,117,40000,0,1,2001,122,11,3,208,541,124765,6.8
1408,966,308,446,0,0,2006,101,2,1,122,203,8143,6.8
1409,2178,174,730,0,0,2005,108,11,3,228,576,94456,5.3
1410,28027,0,20000,12000,2,2004,98,2,3,212,903,168314,7.3
1411,36258,16000,29000,16000,0,2011,137,7,3,392,279,102728,6.6
1412,3185,192,1000,5000,0,2008,112,11,3,208,232,86205,6.2
1413,3001,48,775,0,2,2002,101,2,3,137,695,43991,5.2
1414,4722,81,2000,0,0,1990,103,0,3,119,291,105478,6.2
1415,3612,40,2000,0,1,2008,101,6,3,195,245,40964,6.2
1416,5709,37,3000,0,0,1999,112,4,0,95,239,48621,6.6
1417,2603,24,591,12000,1,1980,111,0,1,100,247,38017,6.4
1418,3592,0,939,0,5,2004,102,4,0,164,358,54346,6.2
